,train,val,test
0,00PH05989,00PH07791,00PH05781
1,00PH05995,00PH08668,00PH11716
2,00PH08593,00PL02782,00PL02993
3,00PH10378,00PL04653,00PL03333
4,00PH11709,00PL05539,00PL04551
5,00PH12441,00PL16790,00PL06930
6,00PH13128,00PL17378,00PL10721
7,00PH13176,00PL19523,00PL11767
8,00PH13943,00PL21161,00PL12141
9,00PL03971,01PH05174,00PL12875
10,00PL04028,01PH15253,00PL16815
11,00PL04597,01PL11463,00PL20018
12,00PL05622,01PL11853,00PL20995
13,00PL06188,01PL13772,00PL23929
14,00PL07113,01PL19108,01PH05177
15,00PL07187,01PL19652,01PH05371
16,00PL07211,01PL20257,01PH06909
17,00PL07961,02PH01539,01PH07648
18,00PL08532,02PH08016,01PH15063
19,00PL09231,02PH08229,01PL03657
20,00PL09451,02PL00186,01PL08187
21,00PL10025,02PL01562,01PL08254
22,00PL10946,02PL03484,01PL08327
23,00PL11609,02PL03719,01PL10158
24,00PL12608,02PL06519,01PL12326
25,00PL12856,02PL06622,01PL13078
26,00PL13067,02PL09219,01PL13664
27,00PL15410,02PL10819,01PL20724
28,00PL15947,02PL12136,01PL22701
29,00PL15965,02PL12403,01PL22799
30,00PL16135,02PL15947,02PH03522
31,00PL16502,02PL16066,02PH04128
32,00PL17116,02PL24398,02PH09140
33,00PL18230,03PH02814,02PH09884
34,00PL18940,03PL03462,02PH13015
35,00PL19063,99PL19943,02PH15258
36,00PL19261,99PL20269,02PL01505
37,00PL19280,99PL20989,02PL05223
38,00PL19834,99PL20994,02PL06521
39,00PL19843,,02PL12254
40,00PL20055,,02PL15460
41,00PL20157,,02PL16611
42,00PL21057,,02PL17135
43,00PL21319,,02PL17738
44,00PL23151,,02PL18858
45,01PH02546,,02PL19416
46,01PH03251,,02PL22109
47,01PH03589,,03PH00336
48,01PH03734,,03PL00678
49,01PH04218,,03PL03441
50,01PH04827,,03PL06371
51,01PH05040,,03PL06465
52,01PH05043,,03PL06899
53,01PH05421,,03PL06911
54,01PH05600,,03PL06992
55,01PH05603,,03PL07927
56,01PH06314,,03PL08744
57,01PH06561,,03PL09629
58,01PH07181,,99PL12085
59,01PH08816,,99PL13655
60,01PH08900,,99PL15791
61,01PH09524,,99PL20301
62,01PH11519,,99PL20315
63,01PH12493,,99PL20723
64,01PH12500,,
65,01PH12942,,
66,01PH13351,,
67,01PH13496,,
68,01PH13558,,
69,01PH13920,,
70,01PH14251,,
71,01PH14406,,
72,01PH14922,,
73,01PH15073,,
74,01PH15504,,
75,01PL01873,,
76,01PL02408,,
77,01PL03722,,
78,01PL03900,,
79,01PL06957,,
80,01PL07132,,
81,01PL07277,,
82,01PL08253,,
83,01PL09123,,
84,01PL09596,,
85,01PL09893,,
86,01PL11513,,
87,01PL12898,,
88,01PL12906,,
89,01PL13216,,
90,01PL13269,,
91,01PL13526,,
92,01PL13762,,
93,01PL13892,,
94,01PL14006,,
95,01PL14034,,
96,01PL16519,,
97,01PL16539,,
98,01PL18374,,
99,01PL19632,,
100,01PL19749,,
101,01PL20654,,
102,01PL21782,,
103,01PL21801,,
104,01PL22352,,
105,01PL23319,,
106,01PL23521,,
107,01PL23607,,
108,02PH00265,,
109,02PH01489,,
110,02PH01536,,
111,02PH01679,,
112,02PH01826,,
113,02PH02227,,
114,02PH02816,,
115,02PH03333,,
116,02PH04125,,
117,02PH05092,,
118,02PH06492,,
119,02PH06781,,
120,02PH06827,,
121,02PH07181,,
122,02PH08020,,
123,02PH08981,,
124,02PH09628,,
125,02PH09924,,
126,02PH10009,,
127,02PH10687,,
128,02PH10874,,
129,02PH10924,,
130,02PH11361,,
131,02PH11587,,
132,02PH12701,,
133,02PH12967,,
134,02PH13413,,
135,02PH13507,,
136,02PH14797,,
137,02PH15632,,
138,02PL00424,,
139,02PL01217,,
140,02PL01579,,
141,02PL01716,,
142,02PL01744,,
143,02PL02775,,
144,02PL03585,,
145,02PL06480,,
146,02PL07217,,
147,02PL07608,,
148,02PL07743,,
149,02PL08716,,
150,02PL08722,,
151,02PL09108,,
152,02PL09173,,
153,02PL10401,,
154,02PL10863,,
155,02PL10929,,
156,02PL11431,,
157,02PL11441,,
158,02PL11852,,
159,02PL11880,,
160,02PL11887,,
161,02PL11891,,
162,02PL12911,,
163,02PL13481,,
164,02PL14885,,
165,02PL15452,,
166,02PL16594,,
167,02PL17098,,
168,02PL18214,,
169,02PL18285,,
170,02PL19090,,
171,02PL19422,,
172,02PL19615,,
173,02PL20264,,
174,02PL20728,,
175,02PL21200,,
176,02PL21520,,
177,02PL21918,,
178,02PL21996,,
179,02PL22089,,
180,02PL22612,,
181,02PL23599,,
182,02PL23656,,
183,02PL24129,,
184,02PL24187,,
185,03PH00332,,
186,03PH01091,,
187,03PH01631,,
188,03PH01793,,
189,03PH01843,,
190,03PH02177,,
191,03PH02311,,
192,03PH02883,,
193,03PH02891,,
194,03PH03148,,
195,03PH04208,,
196,03PH04550,,
197,03PL00041,,
198,03PL00299,,
199,03PL01750,,
200,03PL04143,,
201,03PL04841,,
202,03PL04847,,
203,03PL05923,,
204,03PL06476,,
205,03PL06989,,
206,03PL07815,,
207,03PL07954,,
208,03PL08608,,
209,03PL08632,,
210,03PL08780,,
211,03PL09850,,
212,03PL10195,,
213,99PL12156,,
214,99PL13564,,
215,99PL14524,,
216,99PL20789,,
217,99PL20958,,
