,train,val,test
0,00PH05781,00PH11709,00PH07791
1,00PH05989,00PL03333,00PH12441
2,00PH05995,00PL07113,00PH13943
3,00PH08593,00PL12875,00PL04597
4,00PH08668,00PL21319,00PL04653
5,00PH10378,01PH07648,00PL07211
6,00PH11716,01PH09524,00PL12856
7,00PH13128,01PH12493,00PL13067
8,00PH13176,01PH15063,00PL15947
9,00PL02782,01PH15253,00PL15965
10,00PL02993,01PL09123,00PL16502
11,00PL03971,01PL09893,00PL17116
12,00PL04028,01PL12906,00PL19063
13,00PL04551,01PL14034,00PL19834
14,00PL05539,01PL22352,00PL21057
15,00PL05622,01PL22701,00PL21161
16,00PL06188,02PH03333,01PH05040
17,00PL06930,02PH03522,01PH05174
18,00PL07187,02PH08016,01PH08816
19,00PL07961,02PH09628,01PH12500
20,00PL08532,02PH10874,01PH13496
21,00PL09231,02PH11587,01PH14251
22,00PL09451,02PH13413,01PL07132
23,00PL10025,02PH13507,01PL09596
24,00PL10721,02PL09173,01PL13269
25,00PL10946,02PL10863,01PL14006
26,00PL11609,02PL12136,01PL21782
27,00PL11767,02PL12403,01PL21801
28,00PL12141,02PL15452,01PL23319
29,00PL12608,02PL15947,02PH01536
30,00PL15410,02PL16066,02PH01679
31,00PL16135,02PL17098,02PH04125
32,00PL16790,02PL18858,02PH06492
33,00PL16815,02PL19090,02PH06827
34,00PL17378,03PH00336,02PH08229
35,00PL18230,03PH02891,02PH15632
36,00PL18940,03PL08780,02PL01579
37,00PL19261,99PL13564,02PL02775
38,00PL19280,99PL20958,02PL03585
39,00PL19523,,02PL03719
40,00PL19843,,02PL06480
41,00PL20018,,02PL08716
42,00PL20055,,02PL10401
43,00PL20157,,02PL11431
44,00PL20995,,02PL11887
45,00PL23151,,02PL18214
46,00PL23929,,02PL19615
47,01PH02546,,02PL20728
48,01PH03251,,02PL21918
49,01PH03589,,02PL22612
50,01PH03734,,02PL24187
51,01PH04218,,03PH01091
52,01PH04827,,03PH01793
53,01PH05043,,03PH02311
54,01PH05177,,03PH02814
55,01PH05371,,03PH02883
56,01PH05421,,03PH04550
57,01PH05600,,03PL01750
58,01PH05603,,03PL04143
59,01PH06314,,03PL04841
60,01PH06561,,03PL05923
61,01PH06909,,03PL06476
62,01PH07181,,03PL09850
63,01PH08900,,99PL20269
64,01PH11519,,99PL20989
65,01PH12942,,
66,01PH13351,,
67,01PH13558,,
68,01PH13920,,
69,01PH14406,,
70,01PH14922,,
71,01PH15073,,
72,01PH15504,,
73,01PL01873,,
74,01PL02408,,
75,01PL03657,,
76,01PL03722,,
77,01PL03900,,
78,01PL06957,,
79,01PL07277,,
80,01PL08187,,
81,01PL08253,,
82,01PL08254,,
83,01PL08327,,
84,01PL10158,,
85,01PL11463,,
86,01PL11513,,
87,01PL11853,,
88,01PL12326,,
89,01PL12898,,
90,01PL13078,,
91,01PL13216,,
92,01PL13526,,
93,01PL13664,,
94,01PL13762,,
95,01PL13772,,
96,01PL13892,,
97,01PL16519,,
98,01PL16539,,
99,01PL18374,,
100,01PL19108,,
101,01PL19632,,
102,01PL19652,,
103,01PL19749,,
104,01PL20257,,
105,01PL20654,,
106,01PL20724,,
107,01PL22799,,
108,01PL23521,,
109,01PL23607,,
110,02PH00265,,
111,02PH01489,,
112,02PH01539,,
113,02PH01826,,
114,02PH02227,,
115,02PH02816,,
116,02PH04128,,
117,02PH05092,,
118,02PH06781,,
119,02PH07181,,
120,02PH08020,,
121,02PH08981,,
122,02PH09140,,
123,02PH09884,,
124,02PH09924,,
125,02PH10009,,
126,02PH10687,,
127,02PH10924,,
128,02PH11361,,
129,02PH12701,,
130,02PH12967,,
131,02PH13015,,
132,02PH14797,,
133,02PH15258,,
134,02PL00186,,
135,02PL00424,,
136,02PL01217,,
137,02PL01505,,
138,02PL01562,,
139,02PL01716,,
140,02PL01744,,
141,02PL03484,,
142,02PL05223,,
143,02PL06519,,
144,02PL06521,,
145,02PL06622,,
146,02PL07217,,
147,02PL07608,,
148,02PL07743,,
149,02PL08722,,
150,02PL09108,,
151,02PL09219,,
152,02PL10819,,
153,02PL10929,,
154,02PL11441,,
155,02PL11852,,
156,02PL11880,,
157,02PL11891,,
158,02PL12254,,
159,02PL12911,,
160,02PL13481,,
161,02PL14885,,
162,02PL15460,,
163,02PL16594,,
164,02PL16611,,
165,02PL17135,,
166,02PL17738,,
167,02PL18285,,
168,02PL19416,,
169,02PL19422,,
170,02PL20264,,
171,02PL21200,,
172,02PL21520,,
173,02PL21996,,
174,02PL22089,,
175,02PL22109,,
176,02PL23599,,
177,02PL23656,,
178,02PL24129,,
179,02PL24398,,
180,03PH00332,,
181,03PH01631,,
182,03PH01843,,
183,03PH02177,,
184,03PH03148,,
185,03PH04208,,
186,03PL00041,,
187,03PL00299,,
188,03PL00678,,
189,03PL03441,,
190,03PL03462,,
191,03PL04847,,
192,03PL06371,,
193,03PL06465,,
194,03PL06899,,
195,03PL06911,,
196,03PL06989,,
197,03PL06992,,
198,03PL07815,,
199,03PL07927,,
200,03PL07954,,
201,03PL08608,,
202,03PL08632,,
203,03PL08744,,
204,03PL09629,,
205,03PL10195,,
206,99PL12085,,
207,99PL12156,,
208,99PL13655,,
209,99PL14524,,
210,99PL15791,,
211,99PL19943,,
212,99PL20301,,
213,99PL20315,,
214,99PL20723,,
215,99PL20789,,
216,99PL20994,,
