train,val,test
01PH11519,02PL01562,00PH05781
01PL13762,02PL24398,00PH11716
00PL21057,02PL03484,00PL02993
03PL04841,00PL05539,00PL03333
02PL22612,01PL13772,00PL04551
02PH10874,03PH02814,00PL06930
02PL22089,01PL20257,00PL10721
02PH14797,02PH08229,00PL11767
00PL09451,01PL11463,00PL12141
99PL13564,02PL06519,00PL12875
02PL24187,01PH15253,00PL16815
02PL01579,01PL19108,00PL20018
01PL09893,99PL20269,00PL20995
02PH09924,03PL03462,00PL23929
01PH04218,00PH08668,01PH05177
02PH09628,99PL20989,01PH05371
01PL19632,02PL03719,01PH06909
01PL09596,02PL10819,01PH07648
02PL09108,01PL19652,01PH15063
01PL21782,00PL17378,01PL03657
03PL04847,02PL09219,01PL08187
00PL19063,00PH07791,01PL08254
02PH01826,00PL02782,01PL08327
03PH04208,02PL15947,01PL10158
02PL11887,01PH05174,01PL12326
02PH12701,02PH01539,01PL13078
01PH07181,00PL19523,01PL13664
00PL07187,02PL12136,01PL20724
00PL21319,02PL00186,01PL22701
02PH02816,00PL16790,01PL22799
01PH08816,02PH08016,02PH03522
01PL03722,02PL12403,02PH04128
01PH12493,02PL16066,02PH09140
01PL08253,00PL04653,02PH09884
02PL16594,99PL20994,02PH13015
03PL05923,01PL11853,02PH15258
01PH12500,02PL06622,02PL01505
02PH15632,00PL21161,02PL05223
00PL19261,99PL19943,02PL06521
01PH14922,,02PL12254
01PL13269,,02PL15460
00PL09231,,02PL16611
01PH02546,,02PL17135
01PH14251,,02PL17738
01PH14406,,02PL18858
01PH12942,,02PL19416
02PH02227,,02PL22109
00PL20055,,03PH00336
02PL21918,,03PL00678
02PL19615,,03PL03441
02PH05092,,03PL06371
03PH01631,,03PL06465
02PL23599,,03PL06899
01PH05421,,03PL06911
02PL11441,,03PL06992
02PL17098,,03PL07927
01PH05603,,03PL08744
02PL11431,,03PL09629
01PL12906,,99PL12085
00PL15947,,99PL13655
00PH13176,,99PL15791
02PH10924,,99PL20301
03PL00299,,99PL20315
03PL01750,,99PL20723
03PL04143,,
02PL15452,,
03PL09850,,
01PH13920,,
00PL07113,,
01PL22352,,
00PL20157,,
01PL06957,,
02PL19090,,
00PL17116,,
01PH15504,,
00PL16502,,
00PL15410,,
01PH05043,,
01PH05600,,
03PH01091,,
01PL21801,,
02PH13507,,
01PL01873,,
02PL20728,,
00PL13067,,
01PL23319,,
02PL03585,,
02PL08716,,
02PL07217,,
02PL09173,,
03PL08780,,
01PL23607,,
02PL21520,,
00PL04028,,
02PL08722,,
00PH13128,,
01PH13558,,
99PL14524,,
02PH13413,,
00PL07211,,
02PL14885,,
00PL06188,,
03PH01793,,
03PH02177,,
03PL10195,,
02PL06480,,
01PL07277,,
01PL09123,,
02PH12967,,
02PL21996,,
02PH11361,,
03PH02311,,
02PL00424,,
01PH03589,,
02PL01716,,
03PH02891,,
02PH06827,,
02PH01536,,
03PH00332,,
02PH10009,,
02PL10401,,
00PH05989,,
01PL14006,,
01PH09524,,
00PL08532,,
03PL00041,,
02PH07181,,
02PL01217,,
01PL07132,,
02PH08981,,
00PH11709,,
00PL16135,,
02PH06781,,
02PH01679,,
01PH03734,,
03PL07954,,
01PL14034,,
00PL18940,,
00PL07961,,
03PL08632,,
02PH03333,,
03PH01843,,
02PL12911,,
03PL08608,,
01PH15073,,
00PL19834,,
01PH03251,,
02PL11880,,
02PL20264,,
00PH10378,,
02PL01744,,
02PH06492,,
99PL20789,,
01PH05040,,
00PL15965,,
01PL13526,,
00PL18230,,
00PL12856,,
01PL23521,,
01PH04827,,
03PL07815,,
00PL19843,,
01PH08900,,
01PL20654,,
00PL03971,,
02PL18285,,
01PL19749,,
00PL12608,,
02PL07743,,
02PL10929,,
99PL12156,,
02PL02775,,
00PL19280,,
00PH13943,,
00PH05995,,
00PL11609,,
01PL12898,,
03PL06476,,
01PL16539,,
02PL10863,,
02PL19422,,
02PH10687,,
02PL07608,,
03PH03148,,
02PH01489,,
03PH04550,,
02PH00265,,
02PH08020,,
02PL23656,,
99PL20958,,
01PL03900,,
00PL05622,,
03PH02883,,
01PL02408,,
00PL10946,,
01PL16519,,
01PL13892,,
00PL10025,,
02PL18214,,
01PH06561,,
02PH04125,,
00PL04597,,
00PH08593,,
02PL21200,,
01PH13351,,
02PL24129,,
01PH13496,,
00PL23151,,
02PH11587,,
00PH12441,,
01PL13216,,
02PL11891,,
02PL11852,,
02PL13481,,
03PL06989,,
01PH06314,,
01PL18374,,
01PL11513,,
