train,val,test
02PH09884,00PL23151,00PH05989
00PL11609,01PH05040,00PH10378
00PL04028,00PL03333,00PH11709
01PL14006,01PH11519,00PH13128
01PL10158,02PH08020,00PH13176
01PL01873,02PL18214,00PL05539
02PL21200,02PH08981,00PL05622
01PL16539,03PL00678,00PL07961
00PL17378,02PH07181,00PL08532
01PL13762,02PL06521,00PL10025
01PH09524,01PL23319,00PL15410
00PL16790,02PH00265,00PL18940
01PH03734,02PH04128,00PL19261
02PL24398,01PL08187,00PL19280
01PH07648,00PL12608,00PL19843
00PL13067,03PL06899,00PL21319
00PL19523,03PL09850,01PH03251
00PH05781,00PL07113,01PH05600
02PL21918,03PH02814,01PH05603
00PL06930,02PL17738,01PH06314
02PH06827,02PL15947,01PH07181
02PL07743,01PL13892,01PH08900
01PH13920,01PL07132,01PH12942
00PL20018,01PL19652,01PH13351
00PL15947,99PL20723,01PL03722
03PL08780,03PL06476,01PL06957
02PL20264,01PH05421,01PL07277
02PH01536,02PH02816,01PL09123
02PL22612,02PL01716,01PL11513
00PL09231,99PL14524,01PL11853
02PH03522,01PL13664,01PL12906
03PH00336,03PL01750,01PL13216
03PL08608,02PL19615,01PL14034
02PL08716,02PL01217,01PL16519
00PH08593,02PL01744,01PL19632
02PL12136,01PL09893,01PL23521
02PH10924,02PL02775,02PH01489
02PH10009,02PL22109,02PH09628
00PH08668,02PL19416,02PH10874
03PH01793,,02PH11587
00PL18230,,02PH12701
01PL20257,,02PH12967
00PL21057,,02PH13507
01PL21782,,02PL00186
01PH13558,,02PL01562
03PL07954,,02PL06519
00PL12141,,02PL06622
01PH08816,,02PL07217
02PL06480,,02PL09108
00PL19063,,02PL10929
02PL11887,,02PL12911
01PL03657,,02PL14885
00PL06188,,02PL15452
01PL13269,,02PL19090
99PL20958,,02PL19422
03PL09629,,02PL22089
02PL24129,,02PL23656
01PH12500,,03PL00299
02PH15258,,03PL03462
01PH14251,,03PL04847
01PL21801,,03PL08632
02PL13481,,03PL10195
02PL11441,,99PL12156
02PH01679,,99PL19943
02PL16066,,
02PL23599,,
00PL07187,,
03PH01631,,
01PH04827,,
01PH15253,,
01PL22352,,
03PH01091,,
99PL20994,,
02PL11852,,
00PL04653,,
99PL20789,,
01PL19749,,
00PL12856,,
01PH06561,,
99PL12085,,
00PH07791,,
02PH01539,,
03PL06992,,
00PL20157,,
01PL19108,,
00PL17116,,
02PL05223,,
02PL10401,,
00PL09451,,
02PL11891,,
02PL09173,,
02PL03484,,
02PH02227,,
03PH02177,,
02PH13413,,
00PH11716,,
00PL10946,,
02PL24187,,
02PL10819,,
01PL13078,,
99PL20315,,
02PH01826,,
01PH04218,,
01PL03900,,
00PL02782,,
02PL10863,,
02PL12254,,
01PL22701,,
01PH14406,,
03PL06989,,
00PL23929,,
02PL17135,,
02PH11361,,
99PL15791,,
02PL01505,,
03PH01843,,
01PL18374,,
02PH15632,,
00PL21161,,
02PL03719,,
00PH05995,,
00PL16502,,
02PL17098,,
01PL12898,,
02PL11880,,
00PL19834,,
00PL16815,,
01PL02408,,
01PH15504,,
00PL04597,,
02PL18858,,
03PL05923,,
02PL16611,,
03PL04841,,
00PL11767,,
01PH14922,,
03PH02311,,
01PL11463,,
02PL03585,,
01PH03589,,
01PL08327,,
03PH02891,,
03PH00332,,
02PH06492,,
01PH05043,,
02PL08722,,
01PH02546,,
02PL01579,,
99PL20301,,
01PL20724,,
00PL10721,,
02PH10687,,
03PL00041,,
00PL16135,,
00PL02993,,
02PL07608,,
00PL12875,,
99PL13564,,
01PL08254,,
02PL21520,,
00PL03971,,
01PH05177,,
02PH09924,,
01PH15073,,
03PL03441,,
99PL20269,,
02PH05092,,
03PL06911,,
02PH08016,,
01PL12326,,
01PL20654,,
01PH05174,,
02PL21996,,
01PH05371,,
01PL09596,,
99PL13655,,
03PH03148,,
03PH04550,,
99PL20989,,
03PL04143,,
01PL23607,,
02PH04125,,
03PL06465,,
02PL15460,,
02PL18285,,
01PH06909,,
03PH04208,,
01PH12493,,
01PL08253,,
02PH03333,,
00PH13943,,
02PL11431,,
01PL13772,,
02PH13015,,
03PL07927,,
00PL20055,,
03PH02883,,
00PL04551,,
03PL06371,,
01PL13526,,
00PL15965,,
01PL22799,,
02PL20728,,
02PH06781,,
02PL09219,,
02PL16594,,
02PH14797,,
00PL20995,,
02PL00424,,
00PL07211,,
01PH13496,,
02PH08229,,
02PH09140,,
03PL08744,,
03PL07815,,
00PH12441,,
01PH15063,,
02PL12403,,
